Aluminum.Band,BirdSex,Age,Recapture,Mass,Tail,Wing.LEFT,Wing.RIGHT,Tarsus1,Tarsus2,Bill.Depth,Bill.Width,Bill.Length_culmen,Bill.Length_nares,Date.Banded_date,Year,OrdinalDay
1320-86734,F,AHY,No,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1982-05-01,1982,121
1520-30553,M,ASY,No,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30555,M,ASY,No,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30556,M,ASY,No,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30557,M,SY,No,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30558,M,SY,No,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30600,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30746,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30747,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30748,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30749,U,N,No,6.9,NA,NA,NA,17.49,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30750,U,N,No,7.7,NA,NA,NA,19.06,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30791,U,N,No,7.9,NA,NA,NA,19.1,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30792,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30793,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30794,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30795,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30796,M,U,No,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30797,M,ASY,No,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30864,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30865,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30866,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30867,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30868,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30869,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30872,M,ASY,No,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30873,F,SY,No,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30874,F,SY,No,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30875,F,SY,No,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30877,F,SY,No,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30881,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30882,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30883,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30884,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30885,U,N,No,9.1,NA,NA,NA,19.4,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30886,U,N,No,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30887,U,N,No,8.4,NA,NA,NA,18.24,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-60870,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1760-54933,F,AHY,No,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1760-54934,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1760-54935,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1760-54936,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1760-54938,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1760-54939,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1760-54940,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1760-54941,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1760-54942,F,AHY,No,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1760-54943,M,ASY,No,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1760-54944,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1760-54946,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1760-54947,F,AHY,No,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1760-54954,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1760-54955,U,N,No,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1760-54955,U,HY,No,10,NA,NA,64.5,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1760-54956,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1760-54957,U,N,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1760-54959,F,AHY,No,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-05-01,1986,121
1520-30555,M,ASY,No,9.5,NA,NA,64,NA,NA,NA,NA,NA,NA,1987-05-10,1987,130
1520-30741,M,SY,No,11,NA,NA,65,NA,NA,NA,NA,NA,NA,1987-05-10,1987,130
1520-30796,M,U,No,9.5,NA,NA,63.5,NA,NA,NA,NA,NA,NA,1987-05-10,1987,130
1520-30876,M,U,No,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987-05-10,1987,130
1520-30899,F,U,No,11.1,NA,NA,60.5,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1520-30900,M,U,No,9.5,NA,NA,63,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1700-95535,M,U,No,9.8,NA,NA,64.5,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55001,F,U,No,10,NA,NA,59,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55009,F,U,No,10.3,NA,NA,60,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55015,F,U,No,9.6,NA,NA,60,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55020,M,U,No,9.8,NA,NA,60.5,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55031,F,U,No,10.8,NA,NA,60,NA,21.5,NA,NA,NA,NA,1987-05-01,1987,121
1760-55038,F,U,No,9.5,NA,NA,59,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55107,M,U,No,8.6,NA,NA,64,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55110,M,U,No,9.5,NA,NA,64,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55111,M,U,No,9.5,NA,NA,65,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55112,M,U,No,10.5,NA,NA,64,NA,20,NA,NA,8.9,NA,1987-05-01,1987,121
1760-55113,M,U,No,10,NA,NA,64,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55118,M,U,No,10,NA,NA,65,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55129,F,U,No,11.1,NA,NA,60,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55130,M,U,No,9.5,NA,NA,63,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55131,F,U,No,10,NA,NA,62.5,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55135,F,U,No,9.6,NA,NA,60,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55144,M,U,No,10,NA,NA,63.5,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55145,F,U,No,11,NA,NA,60,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55146,M,U,No,9.5,NA,NA,64,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55147,M,U,No,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55148,M,U,No,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55149,M,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1987-06-20,1987,171
1760-55160,F,U,No,10.7,NA,NA,62,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55170,F,U,No,10.5,NA,NA,58.5,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55171,F,U,No,9.7,NA,NA,60,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55182,M,U,No,9.5,NA,NA,63.5,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55183,F,U,No,10.3,NA,NA,61.5,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55189,F,U,No,9.5,NA,NA,59.5,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55190,F,U,No,9.5,NA,NA,59.5,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55191,F,U,No,10.5,NA,NA,60,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55192,F,U,No,11,NA,NA,58.5,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1760-55197,M,U,No,9.5,NA,NA,61,NA,NA,NA,NA,NA,NA,1987-05-01,1987,121
1370-99805,F,U,No,12.2,NA,NA,60,NA,17.9,NA,4.1,8.9,3.1,1988-05-01,1988,122
1620-30101,M,U,No,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30102,M,U,No,9.3,NA,NA,62,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30103,M,U,No,9.1,NA,NA,62,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30104,M,U,No,9.5,NA,NA,63,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30105,M,U,No,9.5,NA,NA,63.5,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30106,M,U,No,10,NA,NA,64,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30107,M,U,No,9.5,NA,NA,64,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30108,M,U,No,10.4,NA,NA,62,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30109,M,U,No,9.8,NA,NA,64.5,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30110,F,U,No,10.2,NA,NA,62,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30111,M,U,No,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30112,U,U,No,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30113,U,U,No,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30114,U,U,No,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30115,U,U,No,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30116,U,U,No,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30117,F,U,No,12.8,NA,NA,61,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30117,F,U,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30118,U,U,No,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30119,U,U,No,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30120,U,U,No,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30121,U,U,No,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30122,U,U,No,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30123,U,U,No,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30124,U,U,No,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30125,U,U,No,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30131,F,U,No,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30132,F,U,No,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30133,M,U,No,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30134,F,U,No,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30135,M,U,No,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30136,F,U,No,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30137,U,U,No,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30138,U,U,No,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30139,U,U,No,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30140,U,U,No,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30141,U,U,No,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30142,U,U,No,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30143,U,U,No,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30144,F,U,No,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30145,U,U,No,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30146,U,U,No,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30147,U,U,No,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30148,U,U,No,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30149,U,U,No,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30150,U,U,No,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30151,U,U,No,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30152,U,U,No,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30153,U,U,No,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30154,U,U,No,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30155,U,U,No,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30156,U,U,No,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30160,U,U,No,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30161,U,U,No,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30162,U,U,No,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30163,U,U,No,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30169,F,U,No,9.9,NA,NA,61.5,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30170,F,U,No,11.1,NA,NA,59,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30171,F,U,No,11.5,NA,NA,60,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30173,U,U,No,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30174,U,U,No,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30175,U,U,No,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30176,U,U,No,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30177,U,U,No,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30178,U,U,No,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30179,U,U,No,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30180,U,U,No,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30181,U,U,No,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30182,M,U,No,9.5,NA,NA,63,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30183,F,U,No,10,NA,NA,58,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30184,U,U,No,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30185,U,U,No,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30186,U,U,No,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30187,U,U,No,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30188,U,U,No,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30189,U,U,No,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30190,U,U,No,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30191,F,U,No,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30192,U,U,No,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30193,U,U,No,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30194,U,U,No,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30195,U,U,No,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30196,U,U,No,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30197,U,U,No,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30198,U,U,No,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30199,U,U,No,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30200,U,U,No,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30201,U,U,No,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30202,U,U,No,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30203,U,U,No,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30204,U,U,No,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30205,U,U,No,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30206,U,U,No,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30207,U,U,No,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30208,U,U,No,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30209,U,U,No,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30210,U,U,No,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30211,U,U,No,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30212,U,U,No,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30213,F,U,No,10.5,NA,NA,59,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30214,U,U,No,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30215,U,U,No,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30216,U,U,No,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30217,U,U,No,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30218,U,U,No,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30219,U,U,No,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30220,U,U,No,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30221,U,U,No,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30222,U,U,No,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30223,U,U,No,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30224,U,U,No,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30225,U,U,No,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30226,U,U,No,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30227,U,U,No,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30228,U,U,No,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30229,U,U,No,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1620-30230,F,U,No,10,NA,NA,59.5,NA,NA,NA,NA,NA,NA,1988-05-01,1988,122
1370-99868,M,U,No,9.3,NA,NA,59.5,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1370-99869,F,U,No,10.4,NA,NA,59.5,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1370-99887,F,U,No,9.3,NA,NA,60,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1370-99888,U,U,No,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1370-99889,U,U,No,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1370-99890,U,U,No,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1370-99891,U,U,No,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1370-99892,U,U,No,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1370-99893,U,U,No,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1370-99894,U,U,No,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1370-99895,U,U,No,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1370-99896,U,U,No,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1370-99897,U,U,No,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1370-99898,U,U,No,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1370-99899,U,U,No,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1370-99900,U,U,No,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1520-30796,M,U,No,10.2,NA,NA,63.5,NA,NA,NA,NA,NA,NA,1989-05-10,1989,130
1620-30213,F,U,No,10,NA,NA,59,NA,NA,NA,NA,NA,NA,1989-05-10,1989,130
1620-30231,M,U,No,9.2,NA,NA,62,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1620-30232,M,U,No,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1620-30233,M,U,No,NA,NA,NA,64.5,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1620-30234,M,U,No,10.3,NA,NA,63,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1620-30235,F,U,No,9.7,NA,NA,59,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1620-30236,F,U,No,10.3,NA,61.5,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1620-30237,M,U,No,9.5,NA,62,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1620-30238,U,U,No,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1620-30239,U,U,No,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1620-30240,U,U,No,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1620-30241,U,U,No,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1620-30242,U,U,No,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1620-30243,U,U,No,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1620-30244,U,U,No,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1620-30245,U,U,No,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1620-30246,M,U,No,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1620-30247,F,U,No,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1620-30248,F,U,No,11,NA,NA,60,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1620-30253,U,U,No,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1620-30254,U,U,No,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1620-30255,U,U,No,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
1620-30256,U,U,No,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-05-01,1989,121
